target,eval_domain,method,method_label,bin,n,mean_prediction,observed_rate,positive_n,prediction_min,prediction_max
d_u,npf,pf_expert,PF expert,4,1281,0.09572487887600015,0.0351288056206089,45,0.08587455926210122,0.1066838141580388
d_u,npf,pf_expert,PF expert,5,1282,0.12029128559925421,0.07332293291731669,94,0.10671620118387845,0.13428664030196896
d_u,npf,pf_expert,PF expert,6,1281,0.15325494073779894,0.12568306010928962,161,0.13431935378652196,0.1772837276722176
d_u,npf,pf_expert,PF expert,7,1282,0.23644987434961592,0.265990639625585,341,0.17743104154823758,0.5374267763898264
d_u,npf,npf_expert,NPF expert,0,1282,0.02916978580749031,0.0015600624024961,2,0.009865369569914472,0.037768825774529904
d_u,npf,npf_expert,NPF expert,1,1281,0.04477392059386459,0.01014832162373146,13,0.037770133842877474,0.051810555815180494
d_u,npf,npf_expert,NPF expert,2,1282,0.059217840478091484,0.0093603744149766,12,0.05182547187881459,0.06743543873032641
d_u,npf,npf_expert,NPF expert,3,1281,0.0764137657334627,0.01873536299765808,24,0.06746043665885702,0.08628399265415987
d_u,npf,npf_expert,NPF expert,4,1281,0.09919103782625013,0.01717408274785324,22,0.08631098527057467,0.1136402238325928
d_u,npf,npf_expert,NPF expert,5,1282,0.1365513028748344,0.04758190327613104,61,0.11367937245435411,0.16501758372141057
d_u,npf,npf_expert,NPF expert,6,1281,0.21782607708854634,0.11943793911007025,153,0.16503802546203822,0.29340446876978654
d_u,npf,npf_expert,NPF expert,7,1282,0.46655146982593815,0.3985959438377535,511,0.29352484054847755,0.8589826833028595
d_u,npf,dual_expert,Calib. dual,0,1282,0.018730264999054346,0.01794071762870515,23,0.00023848299949129015,0.023410579468168286
d_u,npf,dual_expert,Calib. dual,1,1281,0.02627635806152987,0.01405152224824356,18,0.02341233904625494,0.029060293809332276
d_u,npf,dual_expert,Calib. dual,2,1282,0.0316479316165077,0.014040561622464899,18,0.029066060904807643,0.034284018532068805
d_u,npf,dual_expert,Calib. dual,3,1281,0.03703425480949077,0.01717408274785324,22,0.03429072829112559,0.0400271788914954
d_u,npf,dual_expert,Calib. dual,4,1281,0.04349649748986457,0.02419984387197502,31,0.040030564094588696,0.047369726501590714
d_u,npf,dual_expert,Calib. dual,5,1282,0.05268566624503962,0.04758190327613104,61,0.04737782672594507,0.05926185340202379
d_u,npf,dual_expert,Calib. dual,6,1281,0.07255588168631145,0.1014832162373146,130,0.059264285687203426,0.0930121575396309
d_u,npf,dual_expert,Calib. dual,7,1282,0.14130731595575516,0.3861154446177847,495,0.09314098010765266,0.3898096064936649
d_u,npf,dual_rank,Rank dual,0,1282,0.01603420724496158,0.0070202808112324495,9,0.009391577691478428,0.01993919307878867
d_u,npf,dual_rank,Rank dual,1,1281,0.02406476790284375,0.02107728337236534,27,0.019946061041756027,0.028491519451497638
d_u,npf,dual_rank,Rank dual,2,1282,0.0345228834356039,0.028861154446177848,37,0.02849476179496539,0.04112006366104515
d_u,npf,dual_rank,Rank dual,3,1281,0.047562403993991455,0.03434816549570648,44,0.04112930143898361,0.05435531953268282
d_u,npf,dual_rank,Rank dual,4,1281,0.06179715372669649,0.039032006245121,50,0.05436736207548891,0.06960459543915411
d_u,npf,dual_rank,Rank dual,5,1282,0.07725628597120254,0.07566302652106084,97,0.06963494314491292,0.08416195434107582
d_u,npf,dual_rank,Rank dual,6,1281,0.09084222793559339,0.12724434035909446,163,0.08416195434107582,0.09707630932546914
d_u,npf,dual_rank,Rank dual,7,1282,0.10251515487096027,0.28939157566302653,371,0.09707630932546914,0.10841486459725451
d_u,npf,pooled_baseline,Pooled baseline,0,1282,0.0075027879619962694,0.01014040561622465,13,1e-05,0.011600546554349455
d_u,npf,pooled_baseline,Pooled baseline,1,1281,0.014962697596659401,0.01795472287275566,23,0.011602099119447856,0.018305911561535455
d_u,npf,pooled_baseline,Pooled baseline,2,1282,0.02207770668335339,0.01638065522620905,21,0.018309160782091723,0.02602405220234973
d_u,npf,pooled_baseline,Pooled baseline,3,1281,0.03048726094444123,0.0273224043715847,35,0.026035009019348233,0.03550472513717328
d_u,npf,pooled_baseline,Pooled baseline,4,1281,0.0417855662961926,0.0234192037470726,30,0.03552067978630924,0.04925528906048157
d_u,npf,pooled_baseline,Pooled baseline,5,1282,0.06004434673962844,0.042901716068642744,55,0.049259860813765766,0.07426810310284307
d_u,npf,pooled_baseline,Pooled baseline,6,1281,0.10221809467188785,0.10772833723653395,138,0.07429677860966698,0.14015918247961576
d_u,npf,pooled_baseline,Pooled baseline,7,1282,0.23074962908540547,0.37675507020280813,483,0.14034328968003962,0.6148799782317079
grad_mag_km,pf,pf_expert,PF expert,0,1559,0.036980830420589986,0.014111610006414367,22,0.002445375086435333,0.05029969513034157
grad_mag_km,pf,pf_expert,PF expert,1,1558,0.05900193993023631,0.02631578947368421,41,0.050299968780573946,0.06679025454234656
grad_mag_km,pf,pf_expert,PF expert,2,1558,0.07375587416236802,0.03273427471116817,51,0.06679461547099189,0.08061785792366306
grad_mag_km,pf,pf_expert,PF expert,3,1558,0.08768198698496811,0.03979460847240052,62,0.08063440274287956,0.09506272785223648
grad_mag_km,pf,pf_expert,PF expert,4,1558,0.10279602036495128,0.051989730423620026,81,0.09507259594156778,0.11094641009746949
grad_mag_km,pf,pf_expert,PF expert,5,1558,0.12037731160107432,0.05263157894736842,82,0.11095362611437025,0.13126372451331336
grad_mag_km,pf,pf_expert,PF expert,6,1558,0.1448836450693252,0.07060333761232349,110,0.1312669699411141,0.161183400592789
grad_mag_km,pf,pf_expert,PF expert,7,1559,0.19880973857107026,0.09749839640795381,152,0.161259304911901,0.37899202579785607
grad_mag_km,pf,npf_expert,NPF expert,0,1559,0.17763220749038558,0.04746632456703015,74,0.037754070978881324,0.2145073443131756
grad_mag_km,pf,npf_expert,NPF expert,1,1558,0.23457767524307097,0.055198973042362,86,0.21451056912792393,0.25286564211980866
grad_mag_km,pf,npf_expert,NPF expert,2,1558,0.2692443645708504,0.055198973042362,86,0.2528688652571338,0.2850483114552532
grad_mag_km,pf,npf_expert,NPF expert,3,1558,0.3024484048855829,0.057766367137355584,90,0.28506762653789947,0.32140886749829917
grad_mag_km,pf,npf_expert,NPF expert,4,1558,0.34202092007838236,0.05455712451861361,85,0.3214317120078592,0.36417101520235173
grad_mag_km,pf,npf_expert,NPF expert,5,1558,0.39086967043008763,0.04685494223363286,73,0.3641926460258543,0.4212780293887023
grad_mag_km,pf,npf_expert,NPF expert,6,1558,0.458312244148619,0.0410783055198973,64,0.4213497658117792,0.49852702334271815
grad_mag_km,pf,npf_expert,NPF expert,7,1559,0.5696104649054586,0.027581783194355357,43,0.4987370128494312,0.794632696264356
grad_mag_km,pf,dual_expert,Calib. dual,0,1559,0.01860943182967192,0.014111610006414367,22,0.0014441247593329465,0.02498940377955781
grad_mag_km,pf,dual_expert,Calib. dual,1,1558,0.029487651915909352,0.02631578947368421,41,0.025003446141618,0.0335301185159716
grad_mag_km,pf,dual_expert,Calib. dual,2,1558,0.03732091732902261,0.03979460847240052,62,0.033535961707338045,0.04101715075121666
grad_mag_km,pf,dual_expert,Calib. dual,3,1558,0.044836314071901175,0.04236200256739409,66,0.04102066003579677,0.048908361405083624
grad_mag_km,pf,dual_expert,Calib. dual,4,1558,0.05336180445310629,0.04621309370988447,72,0.04891612039659326,0.05810123698419668
grad_mag_km,pf,dual_expert,Calib. dual,5,1558,0.06350284130445331,0.05648267008985879,88,0.05810923379837602,0.06966528443116193
grad_mag_km,pf,dual_expert,Calib. dual,6,1558,0.07827870641063558,0.07317073170731707,114,0.06966549529637582,0.08857411403241626
grad_mag_km,pf,dual_expert,Calib. dual,7,1559,0.11040547903433072,0.08723540731237973,136,0.08857520298735067,0.21711538693894725
grad_mag_km,pf,dual_rank,Rank dual,0,1559,0.02781469435477402,0.028864656831302116,45,0.017568718631784764,0.03275252578514736
grad_mag_km,pf,dual_rank,Rank dual,1,1558,0.036825019746792496,0.04749679075738126,74,0.03275252578514736,0.04074490408041878
grad_mag_km,pf,dual_rank,Rank dual,2,1558,0.04473492554329278,0.03979460847240052,62,0.04074490408041878,0.048432415659710314
grad_mag_km,pf,dual_rank,Rank dual,3,1558,0.0522346185687047,0.04236200256739409,66,0.04844721832185465,0.0558399505751805
grad_mag_km,pf,dual_rank,Rank dual,4,1558,0.05986561912566356,0.055198973042362,86,0.05584418356492383,0.06391849680304539
grad_mag_km,pf,dual_rank,Rank dual,5,1558,0.06790664441419234,0.051989730423620026,81,0.06392330073122497,0.07185042437518932
grad_mag_km,pf,dual_rank,Rank dual,6,1558,0.07595563374259845,0.04813863928112965,75,0.07185042437518932,0.08029559153310231
grad_mag_km,pf,dual_rank,Rank dual,7,1559,0.08469664523268106,0.0718409236690186,112,0.08029559153310231,0.08961132056451888
grad_mag_km,pf,pooled_baseline,Pooled baseline,0,1559,0.083831146113219,0.01731879409878127,27,0.018734340234690772,0.10346251019274429
grad_mag_km,pf,pooled_baseline,Pooled baseline,1,1558,0.11703959202872759,0.02631578947368421,41,0.10348413135132495,0.12997363253570837
grad_mag_km,pf,pooled_baseline,Pooled baseline,2,1558,0.1417860270196869,0.037227214377406934,58,0.12998050059055755,0.1531493453120097
grad_mag_km,pf,pooled_baseline,Pooled baseline,3,1558,0.16471453165497332,0.04749679075738126,74,0.15316327318000836,0.17667103453999575
grad_mag_km,pf,pooled_baseline,Pooled baseline,4,1558,0.18940794470947417,0.059050064184852376,92,0.17668827124292835,0.2029916452801864
grad_mag_km,pf,pooled_baseline,Pooled baseline,5,1558,0.21701259392333883,0.051347881899871634,80,0.2029986832337516,0.2317537715971588
grad_mag_km,pf,pooled_baseline,Pooled baseline,6,1558,0.2507359889082696,0.06611039794608473,103,0.23175880369718316,0.27260129677374534
grad_mag_km,pf,pooled_baseline,Pooled baseline,7,1559,0.3176395894441849,0.08082103912764593,126,0.2726847022513946,0.4907194160257567
grad_mag_km,npf,pf_expert,PF expert,0,1406,0.06439260630651797,0.02418207681365576,34,0.014254730146744702,0.08078740099450858
grad_mag_km,npf,pf_expert,PF expert,1,1405,0.0917331724707517,0.022775800711743774,32,0.08078866724529862,0.10123764326161858
grad_mag_km,npf,pf_expert,PF expert,2,1405,0.10986376909936235,0.029181494661921707,41,0.10125089018099309,0.11798028136025338
grad_mag_km,npf,pf_expert,PF expert,3,1406,0.12528250825065473,0.022048364153627313,31,0.11798500242832552,0.13203231106996668
grad_mag_km,npf,pf_expert,PF expert,4,1405,0.13807746693671485,0.020640569395017794,29,0.13203503263406852,0.14380999718631943
grad_mag_km,npf,pf_expert,PF expert,5,1405,0.1493262050524195,0.016370106761565837,23,0.1438116269527932,0.15487547879289992
grad_mag_km,npf,pf_expert,PF expert,6,1405,0.16134832116797013,0.028469750889679714,40,0.15487944332523104,0.16855607807258594
grad_mag_km,npf,pf_expert,PF expert,7,1406,0.19003046732493506,0.029871977240398292,42,0.1685759838181833,0.31608532614293616
grad_mag_km,npf,npf_expert,NPF expert,0,1406,0.0182503341874858,0.005689900426742532,8,1e-05,0.028553467088342426
grad_mag_km,npf,npf_expert,NPF expert,1,1405,0.03576783841145908,0.006405693950177936,9,0.028558605750757794,0.04266780033108838
grad_mag_km,npf,npf_expert,NPF expert,2,1405,0.04994590857643505,0.009252669039145907,13,0.042680244637328835,0.057137892242162425
grad_mag_km,npf,npf_expert,NPF expert,3,1406,0.06465092240701599,0.015647226173541962,22,0.057142735067483255,0.07275657473436048
grad_mag_km,npf,npf_expert,NPF expert,4,1405,0.08190539968684854,0.015658362989323844,22,0.07276674048609019,0.09304627046799331
grad_mag_km,npf,npf_expert,NPF expert,5,1405,0.1058975418984616,0.020640569395017794,29,0.09307900454492389,0.12090659410423879
grad_mag_km,npf,npf_expert,NPF expert,6,1405,0.14426397691513018,0.022775800711743774,32,0.12092633220676278,0.1745433257986839
grad_mag_km,npf,npf_expert,NPF expert,7,1406,0.26909556159839937,0.09743954480796586,137,0.17464653730724447,0.747542542084685
grad_mag_km,npf,dual_expert,Calib. dual,0,1406,0.021677127046192412,0.010668563300142247,15,0.006169587890201663,0.027418481730257436
grad_mag_km,npf,dual_expert,Calib. dual,1,1405,0.03162621688179825,0.012811387900355872,18,0.027419525574754,0.03534662842946153
grad_mag_km,npf,dual_expert,Calib. dual,2,1405,0.03853968374305728,0.020640569395017794,29,0.035348445559361126,0.04153413440797912
grad_mag_km,npf,dual_expert,Calib. dual,3,1406,0.04417423856388688,0.02418207681365576,34,0.041542913484151435,0.04693519436418813
grad_mag_km,npf,dual_expert,Calib. dual,4,1405,0.04935038032783847,0.022775800711743774,32,0.046937091666936694,0.051851125839640674
grad_mag_km,npf,dual_expert,Calib. dual,5,1405,0.05450347433242122,0.023487544483985764,33,0.05185251095597116,0.057310085770875416
grad_mag_km,npf,dual_expert,Calib. dual,6,1405,0.06137578584981696,0.022775800711743774,32,0.05731226071864175,0.06641758090793144
grad_mag_km,npf,dual_expert,Calib. dual,7,1406,0.08010414122411089,0.0561877667140825,79,0.06642581320207654,0.1760269435751465
grad_mag_km,npf,dual_rank,Rank dual,0,1406,0.023474596137222657,0.013513513513513514,19,0.015510559765318394,0.029153808282159698
grad_mag_km,npf,dual_rank,Rank dual,1,1405,0.034707805327092195,0.02206405693950178,31,0.029160626287176555,0.03992449724558112
grad_mag_km,npf,dual_rank,Rank dual,2,1405,0.04468311748771017,0.0298932384341637,42,0.03992757477327843,0.049347041818772586
grad_mag_km,npf,dual_rank,Rank dual,3,1406,0.053223778391380275,0.01991465149359886,28,0.04935080833570921,0.05691195193844022
grad_mag_km,npf,dual_rank,Rank dual,4,1405,0.06013266921320678,0.02206405693950178,31,0.05692488092278963,0.06305924996814773
grad_mag_km,npf,dual_rank,Rank dual,5,1405,0.06571331202030073,0.019217081850533807,27,0.06305924996814773,0.06829875109788092
grad_mag_km,npf,dual_rank,Rank dual,6,1405,0.07077370979434897,0.03131672597864769,44,0.06829875109788092,0.07351705471679444
grad_mag_km,npf,dual_rank,Rank dual,7,1406,0.0787560566927775,0.03556187766714083,50,0.07351705471679444,0.08936927167718238
grad_mag_km,npf,pooled_baseline,Pooled baseline,0,1406,0.011519755390603653,0.01422475106685633,20,1e-05,0.018748137872760386
grad_mag_km,npf,pooled_baseline,Pooled baseline,1,1405,0.024749366007579383,0.0099644128113879,14,0.018765663525838333,0.03075569220519499
grad_mag_km,npf,pooled_baseline,Pooled baseline,2,1405,0.03678812010536625,0.0071174377224199285,10,0.030779576464570586,0.04303797439832826
grad_mag_km,npf,pooled_baseline,Pooled baseline,3,1406,0.049280275411432324,0.011379800853485065,16,0.04304752962214811,0.05606443728157708
grad_mag_km,npf,pooled_baseline,Pooled baseline,4,1405,0.063872297573644,0.01494661921708185,21,0.05607774157787139,0.0719981561992214
grad_mag_km,npf,pooled_baseline,Pooled baseline,5,1405,0.08264278460973869,0.015658362989323844,22,0.0719993996872892,0.0946116109033269
grad_mag_km,npf,pooled_baseline,Pooled baseline,6,1405,0.11118340290390681,0.032740213523131674,46,0.0946406639643019,0.13000185239998907
grad_mag_km,npf,pooled_baseline,Pooled baseline,7,1406,0.1761003784242039,0.08748221906116643,123,0.1300691625952562,0.40111874534951425
