target,eval_domain,method,method_label,n,positive_fraction,mean_prediction,prediction_to_observed_ratio,average_precision,roc_auc,brier,top_decile_rate,top_decile_lift
d_u,npf,dual_max,Dual max,10252,0.0778384705423332,0.16639119151771287,2.137647237392973,0.41146188432958125,0.8819918423093911,0.06286190798050262,0.43859649122807015,5.634700787055357
d_u,npf,dual_rank_raw,Rank dual raw,10252,0.0778384705423332,0.6857733489584337,8.8102109943883,0.24361338218177903,0.7949804965131254,0.4668471759232658,0.293036750483559,3.764677651575748
grad_mag_km,all,pf_expert,PF expert,23709,0.036821460204985446,0.1152339524558572,3.129532392641373,0.06003197441128079,0.5794614851211598,0.04266125209098362,0.06874736398144243,1.8670461084032288
grad_mag_km,all,npf_expert,NPF expert,23709,0.036821460204985446,0.22602826171044846,6.138492619579637,0.048115056838679476,0.6337628916140328,0.09296247516543436,0.0396457191058625,1.0767014367478742
grad_mag_km,all,dual_expert,Calib. dual,23709,0.036821460204985446,0.05124866062786728,1.391814999800808,0.07465426052558016,0.6487401977986568,0.03520653963924875,0.08899198650358499,2.416851097380867
grad_mag_km,all,dual_rank,Rank dual,23709,0.036821460204985446,0.05515327578645652,1.497856833472048,0.050467727930458534,0.567442370590276,0.035818891857635635,0.06357894736842105,1.726681859287394
grad_mag_km,all,pooled_baseline,Pooled baseline,23709,0.036821460204985446,0.13038199908673082,3.540924188255786,0.07450837291063028,0.6947273772626851,0.047416202743176546,0.08772669759595107,2.382488285569764
grad_mag_km,all,dual_max,Dual max,23709,0.036821460204985446,0.25264571200566394,6.861371347012929,0.04768179792891694,0.6266573427499474,0.09768132222826983,0.0396457191058625,1.0767014367478742
grad_mag_km,all,dual_rank_raw,Rank dual raw,23709,0.036821460204985446,0.691488079888479,18.779485551060652,0.050467727930458534,0.567442370590276,0.5036020782599018,0.06357894736842105,1.726681859287394
grad_mag_km,pf,pf_expert,PF expert,12466,0.0482111342852559,0.10303830237108397,2.137230411577259,0.09176058710393072,0.6531957904125236,0.04874308005887785,0.10344827586206896,2.145734121292099
grad_mag_km,pf,npf_expert,NPF expert,12466,0.0482111342852559,0.34309439238750955,7.116496997508642,0.04197062801865452,0.4580901475487195,0.14940368606146978,0.030473135525260625,0.6320767178999982
grad_mag_km,pf,dual_expert,Calib. dual,12466,0.0482111342852559,0.05447700280143223,1.1299672494553314,0.08407958183394415,0.6407518582948912,0.04538181891271519,0.09703287890938252,2.0126653385763102
grad_mag_km,pf,dual_rank,Rank dual,12466,0.0482111342852559,0.0562542253228703,1.166830570507323,0.062069429119729305,0.5640756766535336,0.045911932867736614,0.07211538461538461,1.495824267246896
grad_mag_km,pf,pooled_baseline,Pooled baseline,12466,0.0482111342852559,0.18527340778428344,3.8429589042244214,0.07511700109368472,0.6194723921992633,0.06712091412567864,0.0817963111467522,1.6966269796263111
grad_mag_km,pf,dual_max,Dual max,12466,0.0482111342852559,0.34397444065350424,7.134751043571686,0.04215894198550549,0.4609667971557448,0.14956734933140192,0.030473135525260625,0.6320767178999982
grad_mag_km,pf,dual_rank_raw,Rank dual raw,12466,0.0482111342852559,0.7042295905622787,14.607198129699444,0.062069429119729305,0.5640756766535336,0.5121067050216144,0.07211538461538461,1.495824267246896
grad_mag_km,npf,pf_expert,PF expert,11243,0.024192831094903496,0.12875623066957087,5.322081990507299,0.028976783570463755,0.5117693303736588,0.03591785020111709,0.03111111111111111,1.2859640522875817
grad_mag_km,npf,npf_expert,NPF expert,11243,0.024192831094903496,0.0962278183216516,3.9775344168762095,0.11088972008354267,0.7629566182502533,0.03038165732055512,0.10755555555555556,4.445761437908497
grad_mag_km,npf,dual_expert,Calib. dual,11243,0.024192831094903496,0.04766914328057024,1.9703830069979822,0.06578071433702776,0.6302142815014985,0.023924405740553344,0.06488888888888888,2.6821535947712416
grad_mag_km,npf,dual_rank,Rank dual,11243,0.024192831094903496,0.05393256628535057,2.229278833625722,0.03298202244037558,0.5597747336561094,0.02462794200155461,0.03808680248007086,1.5743011775126348
grad_mag_km,npf,pooled_baseline,Pooled baseline,11243,0.024192831094903496,0.06951956905705092,2.8735607165750863,0.10588000417219069,0.7293769469778615,0.025568036586966377,0.09866666666666667,4.078343137254902
grad_mag_km,npf,dual_max,Dual max,11243,0.024192831094903496,0.1513823542431471,6.257322826307731,0.10236848366021584,0.7222795257014482,0.04015119558345574,0.10133333333333333,4.18856862745098
grad_mag_km,npf,dual_rank_raw,Rank dual raw,11243,0.024192831094903496,0.6773605630282471,27.99840003723008,0.03298202244037558,0.5597747336561094,0.4941723284412137,0.03808680248007086,1.5743011775126348
