target,domain,feature,zone,zone_label,n_ale_bins,feature_min,feature_max,ale_start,ale_end,ale_min,ale_max,ale_range,model_preprocessing
grad_mag_km,npf,magt,npf_transition,Transition,16,-1.1919186627492309,2.452766101807356,0.005429458971803232,-0.00973101598849627,-0.011413154379438848,0.009291395837384638,0.020704550216823485,median_imputation_no_pca
grad_mag_km,pf,twi,pf_all,All PF,16,7.544042855501175,21.940016448497772,-0.0022098509720122417,-0.009346950383376679,-0.009346950383376679,0.002799183108004702,0.012146133491381382,median_imputation_no_pca
grad_mag_km,pf,twi,pf_transition_impacted,Transition + lake/slump,16,7.623461961746216,22.501900672912598,0.0016091848270614808,-0.015351760055822308,-0.015351760055822308,0.003172689998765125,0.018524450054587433,median_imputation_no_pca
grad_mag_km,pf,twi,pf_transition_background,Transition background,16,7.249168366193771,18.71143940091133,-0.0029075368427522817,0.010037871110146425,-0.00451913939274385,0.010037871110146425,0.014557010502890275,median_imputation_no_pca
grad_mag_km,pf,twi,pf_interior_impacted,Interior + lake/slump,16,7.825539946556091,21.69317802786827,-0.0030451759283993546,0.0001790125723055095,-0.0030451759283993546,0.0014131576128258733,0.004458333541225228,median_imputation_no_pca
grad_mag_km,pf,twi,pf_interior_background,Interior background,16,7.313698843121529,18.709071457386017,-0.0016475125444354384,0.011059007357872902,-0.003199296215163629,0.011059007357872902,0.014258303573036531,median_imputation_no_pca
grad_mag_km,pf,ndvi,pf_all,All PF,16,0.06934805633500218,0.6812755335122347,-0.0003986361919612858,0.0033840883903960475,-0.0046695607626210806,0.006844709260692373,0.011514270023313454,median_imputation_no_pca
grad_mag_km,pf,ndvi,pf_transition_impacted,Transition + lake/slump,16,0.0874550174921751,0.7392483651638031,0.004106471940061232,-0.0036859435358332273,-0.004974150244206197,0.007622390416520535,0.012596540660726732,median_imputation_no_pca
grad_mag_km,pf,ndvi,pf_transition_background,Transition background,16,0.05828198423841968,0.7260946799069643,0.006534074389685062,-0.0034311202683570425,-0.00467876611217459,0.007243206936642474,0.011921973048817064,median_imputation_no_pca
grad_mag_km,pf,ndvi,pf_interior_impacted,Interior + lake/slump,16,0.08281268132850528,0.6535312989726663,-0.004072694299367463,0.011080852791990363,-0.006341473573495427,0.011080852791990363,0.01742232636548579,median_imputation_no_pca
grad_mag_km,pf,ndvi,pf_interior_background,Interior background,16,0.05846215155906975,0.6598532292991877,0.025026360915956437,0.004263171614127689,-0.00696950614389296,0.025026360915956437,0.0319958670598494,median_imputation_no_pca
